Hurguada								
 27.15         33.717        14            2 								
								
 hy	 p	 Ta	 RH	G_Bh	G_Dh	N	 FF	 DD
1	1011	18.5	51	0	0	0	3.8	353
2	1011	17.7	54	0	0	0	3.5	27
3	1011	16.9	54	0	0	0	3.6	24
4	1011	16.5	55	0	0	0	3.8	85
5	1011	16.1	55	0	0	0	3.2	38
6	1011	15.8	57	0	0	0	3.5	27
7	1011	15.8	56	0	2	0	3	51
8	1011	17.2	50	83	45	0	3.8	12
9	1011	19	46	243	69	0	3.7	349
10	1011	20.8	42	396	83	0	5.5	73
11	1011	22.5	32	533	75	0	5.3	5
12	1011	23.8	30	572	86	0	5.5	46
13	1011	24.6	28	548	91	0	6.2	10
14	1011	25	27	469	85	0	6.6	328
15	1011	24.9	28	332	81	0	6.4	10
16	1011	24.1	31	114	119	0	7.4	41
17	1011	22.7	35	0	28	0	6.6	351
18	1011	21.9	41	0	0	0	6.6	20
19	1011	21.1	42	0	0	0	5.7	7
20	1011	20.3	44	0	0	0	5.3	11
21	1011	19.5	46	0	0	0	4.9	24
22	1011	18.6	47	0	0	0	3.9	345
23	1011	17.8	45	0	0	0	3.5	40
24	1011	17	48	0	0	0	3.3	351
25	1011	16.5	50	0	0	0	3.3	22
26	1011	16	50	0	0	0	4.2	355
27	1011	15.5	53	0	0	0	5.9	10
28	1011	15.2	54	0	0	0	5.5	335
29	1011	14.9	56	0	0	0	5.3	7
30	1011	14.7	56	0	0	0	4.7	350
31	1011	14.7	56	0	2	0	5.1	7
32	1011	16.1	51	88	43	0	4.1	344
33	1011	17.9	44	255	62	0	4.5	354
34	1011	19.6	41	393	81	0	4.9	1
35	1011	21.1	37	484	101	0	5.5	327
36	1011	22.3	36	525	113	0	5.1	31
37	1011	23.1	34	507	115	0	6.4	41
38	1011	23.5	33	440	103	0	6.8	16
39	1011	23.4	35	336	79	0	5.9	15
40	1011	22.8	38	131	109	3	6.6	337
41	1011	21.5	42	0	30	3	6.2	21
42	1011	21	50	0	0	3	6.2	6
43	1011	20.4	48	0	0	3	4.5	17
44	1011	19.8	51	0	0	3	3.8	33
45	1011	19.2	58	0	0	3	3.2	18
46	1011	18.7	63	0	0	3	2.6	200
47	1011	18.1	63	0	0	3	2.1	267
48	1011	17.5	68	0	0	3	1.3	323
49	1011	17.1	71	0	0	3	1.1	299
50	1011	16.6	73	0	0	3	0.9	305
51	1011	16.1	72	0	0	3	1.7	302
52	1011	15.9	74	0	0	2	1.3	306
53	1011	15.7	76	0	0	2	1.1	309
54	1011	15.5	78	0	0	2	0.7	306
55	1011	15.6	84	0	1	2	0.9	308
56	1010	16.8	78	53	58	2	1.3	300
57	1010	18.4	70	181	99	2	1.7	306
58	1010	20	60	305	130	1	2.1	282
59	1010	21.6	49	415	144	0	3	238
60	1010	22.8	45	443	161	1	3.3	25
61	1010	23.6	42	461	142	0	3.8	45
62	1010	24.1	42	409	122	0	3.6	329
63	1010	24.1	41	321	88	0	3	55
64	1011	23.5	39	121	114	4	3.5	24
65	1011	22.4	42	0	33	4	4.4	52
66	1011	21.6	49	0	0	4	5.5	24
67	1011	20.9	53	0	0	3	5.1	345
68	1011	20.1	53	0	0	3	4.1	337
69	1011	19.3	56	0	0	3	3.8	14
70	1011	18.6	59	0	0	3	3.9	358
71	1011	17.8	62	0	0	2	3.8	355
72	1011	17.1	64	0	0	2	3.9	340
73	1011	16.3	65	0	0	2	3.8	8
74	1011	15.4	66	0	0	2	3.8	15
75	1011	14.6	65	0	0	1	4.7	347
76	1011	14.2	66	0	0	1	5.3	333
77	1012	13.8	70	0	0	1	5.3	347
78	1012	13.5	69	0	0	1	4.4	335
79	1012	13.5	65	0	2	0	3.7	348
80	1012	14.8	61	91	42	0	3.6	11
81	1012	16.5	55	272	54	0	3.8	3
82	1012	18.3	52	447	56	0	3.7	351
83	1012	19.9	44	569	63	0	4.1	49
84	1012	21.2	40	626	68	0	4.1	36
85	1012	22	38	616	66	0	5.1	37
86	1012	22.5	39	546	59	0	4.2	33
87	1012	22.5	37	414	50	0	3.9	32
88	1012	21.8	39	145	128	4	3.8	89
89	1012	20.5	40	0	44	4	4.1	87
90	1012	19.8	49	0	0	3	4.4	2
91	1012	19	56	0	0	3	4.1	40
92	1012	18.3	57	0	0	3	4.1	335
93	1012	17.5	61	0	0	3	3.2	349
94	1012	16.8	62	0	0	2	3.6	47
95	1012	16	63	0	0	2	3.3	7
96	1012	15.2	69	0	0	2	3.3	346
97	1011	14.7	63	0	0	2	4.2	334
98	1011	14.1	63	0	0	2	4.7	354
99	1011	13.5	66	0	0	1	4.9	322
100	1011	13.2	66	0	0	1	4.4	6
101	1011	12.9	67	0	0	1	4.7	15
102	1011	12.6	73	0	0	1	4.2	358
103	1011	12.7	69	0	1	0	4.7	10
104	1011	13.9	62	74	48	0	4.2	1
105	1011	15.6	57	203	87	0	4.2	52
106	1011	17.3	48	339	114	0	4.2	10
107	1011	18.8	43	446	125	0	4.1	355
108	1011	19.9	40	454	157	0	4.2	20
109	1011	20.7	36	418	173	1	4.4	32
110	1011	21.2	37	436	124	0	5.3	39
111	1011	21.2	35	371	69	0	5.1	349
112	1011	20.7	37	203	54	0	5.1	3
113	1011	19.6	38	40	36	0	6.2	11
114	1011	18.5	42	0	0	0	6.6	11
115	1011	17.9	42	0	0	0	6.2	343
116	1011	17.2	44	0	0	0	4.5	342
117	1011	16.6	47	0	0	0	5.1	344
118	1011	15.9	47	0	0	0	5.1	14
119	1011	15.3	47	0	0	0	4.5	350
120	1011	14.6	49	0	0	0	4.9	348
121	1011	14	50	0	0	0	5.9	3
122	1011	13.4	48	0	0	0	6.2	330
123	1011	12.8	49	0	0	0	6.9	1
124	1011	12.5	49	0	0	0	6.8	4
125	1011	12.2	51	0	0	0	5.7	343
126	1011	12	46	0	0	0	5.7	327
127	1011	12	48	0	1	0	5.9	349
128	1011	13.3	44	73	48	0	6.2	3
129	1011	15	43	214	84	0	6.2	324
130	1011	16.7	36	357	104	0	5.7	340
131	1011	18.1	32	395	157	1	6.4	34
132	1011	19.3	29	478	148	0	7.1	36
133	1011	20	29	439	159	0	8.2	24
134	1011	20.4	32	403	129	0	8.9	345
135	1011	20.5	31	316	95	0	9.2	1
136	1011	19.8	31	159	80	0	8.7	343
137	1011	18.8	33	32	44	0	7.6	334
138	1011	17.7	37	0	0	0	5.7	30
139	1011	17.1	39	0	0	0	5.3	41
140	1011	16.5	41	0	0	0	4.1	35
141	1011	15.9	43	0	0	0	3.9	168
142	1011	15.3	45	0	0	0	3.2	29
143	1011	14.7	44	0	0	0	3	243
144	1011	14.2	44	0	0	0	2.6	255
145	1011	13.7	46	0	0	0	2.5	301
146	1011	13.1	49	0	0	0	2.1	304
147	1011	12.6	52	0	0	0	2.5	309
148	1011	12.4	49	0	0	0	2.8	333
149	1011	12.1	53	0	0	0	2.4	273
150	1011	12	54	0	0	0	2.1	256
151	1011	12	55	0	1	0	1.7	308
152	1011	13.3	50	80	45	0	2.1	302
153	1011	15.1	46	233	74	0	2.1	270
154	1011	16.9	40	378	91	0	2.4	292
155	1011	18.5	38	499	96	0	2.8	272
156	1011	19.8	36	543	107	0	3	318
157	1011	20.7	36	547	98	0	2.8	147
158	1011	21.1	33	471	93	0	3.5	280
159	1011	21.1	33	348	80	0	3.6	41
160	1011	20.5	34	196	59	0	3	20
161	1011	19.4	37	39	37	0	3.3	260
162	1011	18.2	46	0	0	0	3.5	77
163	1012	17.6	52	0	0	0	3.5	11
164	1012	16.9	52	0	0	0	3.5	42
165	1012	16.2	53	0	0	0	3	358
166	1012	15.6	54	0	0	0	3	332
167	1012	14.9	56	0	0	0	2.9	352
168	1012	14.3	57	0	0	0	2.9	5
169	1012	13.6	56	0	0	0	2.8	15
170	1012	13	58	0	0	0	2.8	10
171	1012	12.3	59	0	0	0	3.5	54
172	1012	12	58	0	0	0	2.8	354
173	1012	11.6	64	0	0	0	1.8	11
174	1012	11.4	66	0	0	0	1.3	249
175	1012	11.4	67	0	1	0	0.7	303
176	1012	12.7	62	85	43	0	1.1	302
177	1012	14.6	54	263	58	0	1.5	304
178	1012	16.4	45	433	63	0	2.3	268
179	1012	18	40	535	78	0	3.2	151
180	1012	19.3	38	598	79	0	3.8	328
181	1012	20.2	36	600	74	0	4.5	355
182	1012	20.7	37	539	62	0	5.7	343
183	1012	20.7	35	413	51	0	5.1	341
184	1012	20.1	36	224	51	0	3.9	14
185	1012	19	39	54	32	0	4.9	332
186	1012	17.7	47	0	0	0	5.1	9
187	1012	17.1	46	0	0	0	4.5	350
188	1012	16.4	48	0	0	0	3.9	347
189	1012	15.7	51	0	0	0	3.8	23
190	1012	15	55	0	0	0	4.5	356
191	1012	14.3	60	0	0	0	4.7	341
192	1012	13.6	62	0	0	0	5.3	340
193	1012	13	71	0	0	0	4.5	333
194	1012	12.4	72	0	0	0	5.1	346
195	1012	11.8	72	0	0	0	5.9	358
196	1012	11.5	71	0	0	0	5.9	350
197	1012	11.2	70	0	0	0	4.7	325
198	1012	10.9	69	0	0	0	4.2	324
199	1012	11	72	0	1	0	4.9	8
200	1012	12.3	67	81	45	0	5.1	346
201	1012	14.1	63	245	68	0	4.5	345
202	1012	15.9	49	411	74	0	5.7	330
203	1012	17.5	46	510	91	0	6.4	345
204	1012	18.7	40	572	93	0	6.9	331
205	1012	19.6	36	581	83	0	6.4	16
206	1012	20.1	34	503	79	0	5.9	41
207	1012	20.1	33	387	62	0	6.4	353
208	1012	19.5	37	213	55	0	5.9	9
209	1012	18.4	41	44	39	0	6.2	330
210	1012	17.2	43	0	0	0	7.1	335
211	1011	16.6	51	0	0	0	7.1	333
212	1011	15.9	52	0	0	0	6.6	333
213	1011	15.3	57	0	0	0	5.9	2
214	1011	14.7	61	0	0	0	5.5	346
215	1011	14.1	64	0	0	0	4.9	1
216	1011	13.5	64	0	0	0	5.1	354
217	1011	12.9	66	0	0	0	4.9	33
218	1011	12.4	68	0	0	0	5.9	351
219	1011	11.9	73	0	0	0	5.7	354
220	1011	11.6	77	0	0	0	5.1	42
221	1011	11.3	78	0	0	0	4.7	11
222	1011	11.1	73	0	0	0	5.1	4
223	1011	11.1	70	0	1	0	4.7	12
224	1011	12.5	62	83	44	0	4.5	357
225	1011	14.4	57	264	58	0	5.1	336
226	1011	16.2	50	433	64	0	6.8	11
227	1011	17.8	47	521	86	0	8.4	330
228	1011	19.1	42	557	103	0	7.9	357
229	1011	19.9	41	523	117	0	8.9	340
230	1011	20.4	39	485	90	0	9.7	354
231	1011	20.4	39	374	70	0	10.9	7
232	1011	19.8	41	208	58	0	11.4	356
233	1011	18.6	47	46	35	0	10.2	358
234	1011	17.4	50	0	0	0	13	310
235	1011	16.8	57	0	0	0	11.8	348
236	1011	16.2	59	0	0	0	10.2	353
237	1011	15.6	64	0	0	0	8.9	0
238	1011	15	64	0	0	0	7.1	353
239	1011	14.4	59	0	0	0	7.1	10
240	1011	13.8	57	0	0	0	7.6	348
241	1011	13.3	56	0	0	0	7.1	12
242	1011	12.8	58	0	0	0	6.9	8
243	1011	12.2	60	0	0	0	8.2	19
244	1011	12	63	0	0	0	7.6	10
245	1011	11.7	65	0	0	0	6.9	356
246	1011	11.5	72	0	0	0	7.8	341
247	1011	11.6	71	0	1	0	7.6	354
248	1011	12.9	65	73	48	0	7.4	335
249	1011	14.7	55	238	72	0	8.9	342
250	1011	16.6	49	399	82	0	9.3	331
251	1011	18.2	43	523	87	0	9.3	347
252	1011	19.5	39	555	106	0	8.9	356
253	1011	20.5	36	576	88	0	9.2	8
254	1011	21	35	501	83	0	7.8	348
255	1011	21	35	373	73	0	10.2	2
256	1011	20.4	38	194	71	0	10.9	2
257	1011	19.3	40	46	40	0	11.4	333
258	1011	18.1	42	0	0	0	13	324
259	1011	17.3	47	0	0	0	11.4	358
260	1011	16.5	48	0	0	0	9.7	342
261	1011	15.8	52	0	0	0	9	325
262	1011	15	54	0	0	0	9	357
263	1011	14.2	56	0	0	0	8.7	10
264	1011	13.4	59	0	0	0	9.2	338
265	1011	12.6	64	0	0	0	10.2	357
266	1011	11.8	69	0	0	0	9.7	3
267	1011	11	72	0	0	0	9.3	310
268	1011	10.5	75	0	0	0	8.7	334
269	1011	10.1	74	0	0	0	7.6	354
270	1011	9.8	78	0	0	0	7.4	357
271	1011	9.8	81	0	1	0	8.2	341
272	1011	11	79	76	47	0	6.8	351
273	1011	12.7	67	241	71	0	6.6	332
274	1011	14.5	59	397	83	0	6.9	352
275	1011	16	48	527	85	0	7.1	325
276	1011	17.2	44	570	98	0	6.6	60
277	1011	18.1	39	553	102	0	7.6	20
278	1011	18.5	39	479	97	0	7.8	325
279	1012	18.5	39	368	78	0	7.6	356
280	1012	17.9	39	204	63	0	6.9	310
281	1012	16.8	46	45	40	0	7.6	47
282	1012	15.6	49	0	0	0	7.9	3
283	1012	15	52	0	0	0	8.2	27
284	1012	14.3	53	0	0	0	6.2	6
285	1012	13.7	57	0	0	0	5.7	46
286	1012	13.1	57	0	0	0	4.7	349
287	1012	12.4	59	0	0	0	4.1	38
288	1012	11.8	62	0	0	0	3	152
289	1012	11.4	66	0	0	0	3.5	319
290	1012	10.9	69	0	0	0	3.7	265
291	1012	10.4	70	0	0	0	4.7	149
292	1012	10.2	71	0	0	0	6.2	18
293	1012	10	74	0	0	0	4.7	26
294	1012	9.8	76	0	0	0	5.3	14
295	1012	9.9	76	0	1	0	5.9	26
296	1012	11.3	73	84	44	0	5.7	343
297	1012	13.2	64	266	58	0	5.7	4
298	1012	15.2	54	433	74	0	6.6	15
299	1012	17	49	575	65	0	7.1	353
300	1012	18.4	44	633	71	0	6.6	18
301	1012	19.4	42	624	71	0	6.6	9
302	1012	19.9	40	556	63	0	6.8	353
303	1012	20	37	429	52	0	6.2	339
304	1012	19.3	38	236	52	0	5.9	58
305	1011	18.1	41	60	36	0	5.9	4
306	1011	16.8	43	0	0	0	6.4	50
307	1011	16.3	51	0	0	1	7.6	355
308	1011	15.7	52	0	0	1	6.6	344
309	1011	15.1	53	0	0	1	5.3	347
310	1011	14.5	59	0	0	1	4.9	10
311	1011	14	59	0	0	1	6.2	353
312	1011	13.4	59	0	0	2	5.1	338
313	1011	12.8	61	0	0	2	4.9	2
314	1011	12.3	59	0	0	2	4.5	1
315	1011	11.7	64	0	0	2	3.9	331
316	1011	11.4	64	0	0	3	3.6	93
317	1011	11.2	64	0	0	3	2.9	215
318	1010	11	59	0	0	3	2.8	238
319	1010	11	59	0	1	3	2.3	314
320	1010	12.2	56	45	64	3	2.5	307
321	1010	13.7	50	151	120	4	3	287
322	1010	15.3	42	258	163	3	3.6	150
323	1010	16.8	40	350	189	3	3.3	37
324	1010	17.9	36	366	221	3	3.3	239
325	1010	18.9	32	485	162	0	2.6	291
326	1010	19.4	30	417	139	0	1.9	311
327	1010	19.5	30	278	135	2	2.6	299
328	1010	18.9	31	124	104	4	3	313
329	1010	17.9	33	31	44	3	3.2	271
330	1010	16.8	36	0	0	3	3.3	240
331	1011	16.1	39	0	0	3	3	74
332	1011	15.3	42	0	0	3	3.3	91
333	1011	14.6	43	0	0	3	3.6	23
334	1011	13.9	46	0	0	2	3.2	23
335	1011	13.2	48	0	0	2	3.3	4
336	1011	12.4	51	0	0	2	3.2	356
337	1011	11.7	56	0	0	2	3.3	331
338	1011	10.9	57	0	0	1	3.6	346
339	1011	10.1	58	0	0	1	4.2	7
340	1011	9.7	54	0	0	1	4.9	347
341	1011	9.2	59	0	0	1	4.5	336
